date,channel,campaign,spend,clicks,sessions,orders,new_customers,attributed_revenue
2025-01-10,Meta,Catalog Ads,5234.57,41,765,10,6,10519.62
2025-01-10,Meta,New Collection,8028.53,176,3573,65,29,78048.65
2025-01-10,Google,Brand Search,5902.88,69,3083,44,32,40845.25
2025-01-10,Organic,Email CRM,0.0,40,1034,13,10,19259.58
2025-01-10,Organic,Direct,0.0,153,3056,47,26,70673.49
2025-01-10,Influencer,Micro Influencer Push,3457.2,118,3920,49,34,54628.08
2025-01-10,Influencer,Creator A,9574.42,14,752,14,7,14642.35
2025-01-10,Affiliate,Coupon Partners,7417.29,155,3259,28,18,32606.71
2025-01-11,Meta,Lookalike,5798.66,42,1226,23,16,27034.28
2025-01-11,Meta,Festive Fashion,8904.75,30,786,13,9,13838.88
2025-01-11,Google,Remarketing,7415.64,139,2558,44,29,54152.21
2025-01-11,Organic,Direct,0.0,116,2945,36,20,54712.62
2025-01-11,Influencer,Festive Creators,7049.47,109,3416,58,39,64011.49
2025-01-11,Affiliate,Deal Week,3947.88,105,3520,35,22,33773.36
2025-01-12,Meta,Diwali Sale,16183.5,106,3341,53,25,42773.24
2025-01-12,Google,Shopping Ads,9485.77,71,3622,29,13,26447.5
2025-01-12,Google,Diwali Search,5160.11,117,2504,25,17,28547.93
2025-01-12,Organic,WhatsApp Community,0.0,197,4060,48,29,72585.06
2025-01-12,Organic,Direct,0.0,142,5376,55,32,83545.23
2025-01-12,Influencer,Festive Creators,7671.5,61,2246,25,18,27027.37
2025-01-12,Influencer,Celebrity Drop,8155.3,122,2451,41,26,36568.31
2025-01-12,Affiliate,Coupon Partners,8473.94,31,1920,18,10,16595.22
2025-01-13,Meta,Festive Fashion,2292.99,41,1148,18,10,22006.62
2025-01-13,Meta,Retargeting,10151.69,141,4199,29,18,28643.57
2025-01-13,Google,Performance Max,7317.05,154,3604,58,38,52998.15
2025-01-13,Organic,Email CRM,0.0,122,5657,92,54,109204.91
2025-01-13,Organic,SEO Content,0.0,99,2377,27,15,31904.17
2025-01-13,Influencer,Creator B,3289.96,113,3773,58,37,65354.18
2025-01-13,Affiliate,Deal Week,2335.64,105,2636,47,30,57765.64
2025-01-13,Affiliate,,6156.34,37,2217,37,25,39449.93
2025-01-14,Meta,Diwali Sale,14727.86,75,2246,25,11,26648.87
2025-01-14,Google,Brand Search,6131.63,48,1331,17,11,16429.71
2025-01-14,Organic,Instagram Organic,0.0,139,5902,95,55,126403.2
2025-01-14,Influencer,Festive Creators,8622.12,55,2673,26,12,24607.61
2025-01-14,Influencer,Celebrity Drop,4592.63,91,4040,67,42,54037.47
2025-01-14,Affiliate,Deal Week,10317.26,19,661,7,5,8307.88
2025-01-15,Meta,Diwali Sale,7425.74,74,3918,65,37,64665.9
2025-01-15,Meta,Festive Fashion,7884.07,201,3793,27,18,27604.86
2025-01-15,Google,Generic Search,3789.86,48,1534,10,5,8427.62
2025-01-15,Google,Brand Search,16858.49,142,2989,57,27,66923.47
2025-01-15,Organic,Email CRM,0.0,223,4126,72,38,101793.48
2025-01-15,Influencer,,17044.19,64,3508,62,34,61168.22
2025-01-15,Affiliate,Coupon Partners,4138.42,134,3272,60,38,70528.98
2025-01-16,Meta,Festive Fashion,4872.32,92,1853,22,15,22161.03
2025-01-16,Google,Brand Search,5573.57,27,678,7,4,8508.1
2025-01-16,Organic,Email CRM,0.0,40,1255,10,5,15313.1
2025-01-16,Organic,Instagram Organic,0.0,183,5686,71,38,93532.13
2025-01-16,Influencer,Micro Influencer Push,2820.47,67,4061,36,17,44497.41
2025-01-16,Affiliate,Fashion Blogs,3535.56,116,3179,58,36,60766.25
2025-01-17,Meta,Always On,7956.55,197,3591,22,11,24428.3
2025-01-17,Google,Performance Max,8305.77,188,3515,28,16,27410.22
2025-01-17,Organic,SEO Content,0.0,27,1603,15,10,19313.38
2025-01-17,Organic,WhatsApp Community,0.0,169,3901,34,21,52384.62
2025-01-17,Influencer,Creator A,7150.87,63,2313,21,11,23418.29
2025-01-17,Affiliate,Deal Week,7198.51,125,2440,36,19,43831.53
2025-01-18,Meta,Flash Sale,3635.95,10,579,6,4,6389.15
2025-01-18,Google,Remarketing,5382.77,138,2640,37,22,39212.43
2025-01-18,Organic,WhatsApp Community,0.0,239,4932,87,39,110896.15
2025-01-18,Influencer,Creator A,6646.97,68,3447,48,33,53666.22
2025-01-18,Influencer,Celebrity Drop,7999.72,56,3200,48,28,57302.94
2025-01-18,Affiliate,Deal Week,5387.31,202,4182,45,26,49059.48
2025-01-19,Meta,,4907.02,73,3453,28,14,25438.22
2025-01-19,Meta,Festive Fashion,3953.3,69,1903,20,11,20905.48
2025-01-19,Google,Brand Search,4776.47,225,4366,81,42,92210.97
2025-01-19,Google,Diwali Search,9710.19,79,2084,30,15,36571.58
2025-01-19,Organic,WhatsApp Community,0.0,67,2172,21,13,32768.83
2025-01-19,Influencer,Creator A,2957.26,135,4112,49,28,42243.14
2025-01-19,Influencer,,7796.23,34,1918,33,23,32590.97
2025-01-19,Affiliate,Cashback Partners,1851.51,38,713,11,8,9474.03
2025-01-19,Affiliate,Fashion Blogs,12843.63,64,2325,31,15,38350.34
2025-01-20,Meta,Diwali Sale,3462.86,83,3662,64,29,63526.42
2025-01-20,Google,Generic Search,1364.71,31,1176,18,12,18731.84
2025-01-20,Google,Diwali Search,3986.15,123,2298,33,24,29894.42
2025-01-20,Organic,WhatsApp Community,0.0,43,2280,20,13,24771.34
2025-01-20,Influencer,Festive Creators,8570.18,160,3214,24,10,29735.59
2025-01-20,Affiliate,Cashback Partners,7587.21,102,2350,44,22,44919.91
2025-01-21,Meta,Diwali Sale,8120.09,84,1753,24,11,19438.29
2025-01-21,Meta,Festive Fashion,4426.58,72,1330,15,10,13690.2
2025-01-21,Google,Diwali Search,6376.8,132,2714,37,22,45740.87
2025-01-21,Google,Generic Search,5861.35,166,3146,22,13,27299.93
2025-01-21,Organic,WhatsApp Community,0.0,67,3328,56,33,74465.26
2025-01-21,Organic,Email CRM,0.0,253,5412,48,24,64825.81
2025-01-21,Influencer,Creator B,9648.18,39,1058,18,11,15117.53
2025-01-21,Affiliate,Coupon Partners,9955.39,140,3813,50,21,52996.45
2025-01-22,Meta,Flash Sale,11297.16,152,2982,29,18,24980.95
2025-01-22,Google,Diwali Search,3359.66,176,3271,21,14,24485.68
2025-01-22,Google,Performance Max,4358.41,34,798,14,9,17068.04
2025-01-22,Organic,Email CRM,0.0,70,2040,17,9,22095.84
2025-01-22,Influencer,Micro Influencer Push,3858.15,118,3548,24,16,24227.69
2025-01-22,Affiliate,Coupon Partners,12133.91,116,3812,61,39,51905.74
2025-01-23,Meta,Festive Fashion,9134.14,64,2184,23,11,21968.6
2025-01-23,Google,Remarketing,1969.25,113,3699,41,20,34221.48
2025-01-23,Organic,Email CRM,0.0,80,4283,40,24,46067.14
2025-01-23,Influencer,Micro Influencer Push,7146.41,36,1988,34,17,42208.08
2025-01-23,Affiliate,Coupon Partners,10007.22,189,4082,41,19,33852.04
2025-01-23,Affiliate,Fashion Blogs,6932.83,52,1582,14,7,16571.88
